periodo,valor
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,18878
2013-05-01,112898
2013-06-01,118600
2013-07-01,102249
2013-08-01,143478
2013-09-01,150268
2013-10-01,159941
2013-11-01,160376
2013-12-01,194409
2014-01-01,297319
2014-02-01,333310
2014-03-01,397760
2014-04-01,349969
2014-05-01,376770
2014-06-01,328028
2014-07-01,377232
2014-08-01,361626
2014-09-01,362362
2014-10-01,365020
2014-11-01,334208
2014-12-01,342936
2015-01-01,309668
2015-02-01,338705
2015-03-01,356399
2015-04-01,332086
2015-05-01,331802
2015-06-01,309790
2015-07-01,345207
2015-08-01,336823
2015-09-01,349343
2015-10-01,348987
2015-11-01,320606
2015-12-01,330811
2016-01-01,292859
2016-02-01,334647
2016-03-01,325237
2016-04-01,342476
2016-05-01,327785
2016-06-01,320279
2016-07-01,316855
2016-08-01,347482
2016-09-01,345948
2016-10-01,338737
2016-11-01,328415
2016-12-01,335095
2017-01-01,307244
2017-02-01,330672
2017-03-01,364736
2017-04-01,308637
2017-05-01,328704
2017-06-01,312754
2017-07-01,317948
2017-08-01,339521
2017-09-01,334044
2017-10-01,336269
2017-11-01,329126
2017-12-01,321518
2018-01-01,303527
2018-02-01,326004
2018-03-01,330756
2018-04-01,336914
2018-05-01,345774
2018-06-01,318859
2018-07-01,328116
2018-08-01,351291
2018-09-01,344823
2018-10-01,358549
2018-11-01,328937
2018-12-01,328408
2019-01-01,316079
2019-02-01,330118
2019-03-01,361928
2019-04-01,332838
2019-05-01,356627
2019-06-01,316446
2019-07-01,343117
2019-08-01,353465
2019-09-01,334662
